# form	pos	lemma	sense	freq
ཀ				
ཀ་ཀ				
ཀ་ཀ་ཀ་ཀ				
ཀ་ཀ་ཐ་ཏ				
ཀ་ཀ་ནཱི་ལ				
ཀ་ཀ་ནི				
ཀ་ཀ་མུ་ཁ				
ཀ་ཀ་རང				
ཀ་ཀ་རི				
ཀ་ཀ་རུ				
ཀ་ཀལ་ལི				
ཀ་ཀཱ་སྱ				
ཀ་ཀི་ནི				
ཀ་ཀིའི་སྒྲ				
ཀ་ཀུ་བྷ་ཡ				
ཀ་ཀུ་བྷཱ				
ཀ་ཀུ་སྟ				
ཀ་ཀེ་རི་ཡ				
ཀ་ཀོ				
ཀ་ཀོ་ཏྲི་ཀ				
ཀ་ཀྲང་ཀ				
ཀ་ཀྲང་ག				
ཀ་ཀྲན་ཀ				
ཀ་ཁ་ཕྱེ				
ཀ་ཁའི་ཐོ				
ཀ་ཁའི་དཔེ				
ཀ་ཁི་ལ				
ཀ་ཁུ་བྷ་ཡ				
ཀ་ཁོང				
ཀ་ཁོལ་མ	OTHER			
ཀ་ཁྱི				
ཀ་ག་ནིའ་ལ				
ཀ་གཅིག་པ				
ཀ་གཅིག་མ				
ཀ་གཅིག་སྒོ་གཅིག				
ཀ་གཉིས་པ				
ཀ་གཏུགས				
ཀ་གཏུགས་པ				
ཀ་གདན				
ཀ་གདུང				
ཀ་གནམ				
ཀ་གཙང་མ				
ཀ་གཞུ				13
ཀ་གཟུ				
ཀ་གཟུ་གདུང				
ཀ་གཟོང				
ཀ་གཱ་ནཱི་ལ				
ཀ་གིས				
ཀ་གྲངས				1
ཀ་གྲུའི་བུ				
ཀ་གྷམ				
ཀ་གྷཾ				
ཀ་ཅ				70
ཀ་ཅན				
ཀ་ཅན་བཞི				
ཀ་ཅི				7
ཀ་ཅི་ལ				
ཀ་ཅི་ལི				
ཀ་ཅི་སྐུས་མ				
ཀ་ཅི་སྐྱུས་མ				
ཀ་ཅི་སྐྱེམ་རས				
ཀ་ཅི་སྐྱེས་མ				
ཀ་ཅིག				
ཀ་ཅུ་ར				
ཀ་ཅོག་ཞང་གསུམ				
ཀ་ཆ				98
ཀ་ཆ་ཏ				
ཀ་ཆུ་གསོས				
ཀ་ཆུག				
ཀ་ཆུག་མཛོད				
ཀ་ཆུའི་ཐང				
ཀ་ཆེན				
ཀ་ཇི				
ཀ་ཇུ				
ཀ་ཉཱ				
ཀ་ཏ				
ཀ་ཏ་ཀ				
ཀ་ཏ་ཀི				
ཀ་ཏ་ཀི་ལ				
ཀ་ཏ་པུར				
ཀ་ཏ་པུར་འཛག				
ཀ་ཏ་བོ་ཏ				
ཀ་ཏ་བྱེད				
ཀ་ཏ་མ་ཀ				
ཀ་ཏ་ཝ				
ཀ་ཏ་ཡ				
ཀ་ཏ་ཡ་ན				
ཀ་ཏ་ཡའ་ན				
ཀ་ཏ་ར				
ཀ་ཏ་རུ				
ཀ་ཏ་ལཱི				
ཀ་ཏན				
ཀ་ཏམ་བྷ				
ཀ་ཏམ་བྷ་ར				
ཀ་ཏར				
ཀ་ཏཱཀཥཿ				
ཀ་ཏཱངག				
ཀ་ཏི				
ཀ་ཏི་ར				
ཀ་ཏི་ཤེལ				
ཀ་ཏི་ས་ར				
ཀ་ཏུ				
ཀ་ཏུ་ཀ				
ཀ་ཏེ				
ཀ་ཏོ་ར				12
ཀ་ཏོར				
ཀ་ཏྱ				
ཀ་ཏྱ་ན				
ཀ་ཏྱ་བུ་མོ				
ཀ་ཏྱའི་ཕུག་པ				
ཀ་ཏྱའི་བུ				
