# form	pos	lemma	sense	freq
# Proper nouns				
རྨ་བན་ཆོས་འབར	PROPN			
མཽད་གལ	PROPN			
ཤ་ར་དྭ་ཏི				
ཤཱ་རི	PROPN			
ཀུ་རུ་ཀུལླེ				
ཀཽ་ཤི་ཀ	PROPN			
གངྒཱ	PROPN			
གང་གཱ	PROPN			96
བཱ་རཱ་ཎ་སཱི	PROPN			
ནྱ་གྲོ་དྷ				
དབྱིག་གཉེན	PROPN			1515
པ་ཚབ	PROPN			
གཽ་ཏམ				
ཀ་ཏ་ཡ་ན				
ཅོག་རོ				34
སརྦ་ཛྙ				
དེ་བ	OTHER			1043
ཀུ་ཀུ་རི་པ	PROPN			
བི་མ་ལ				
ཌོཾ་བི				
ཧེ་རུ་ཀ	NOUN			
ཏི་ལོ་པ	PROPN			
བུདྡྷ་པཱ་ལི་ཏ				
ལི་ཙྪ་བཱི	NOUN			
ཨཱ་ནནྡ				
བཻ་རོ་ཙ་ན	PROPN			
ཛི་ན་མི་ཏྲ	PROPN			406
ཀོ་ས་ལ	PROPN			
པྲེ་ཏ་པུ་རི				
ནྱ་གྲོ་ཏ	PROPN			
ཤན་ཏ་རཀྵི་ཏ				
ཨུ་པ་དྷེ་ཤ				
ཀརྨ				690
ཀླུ་སྒྲུབ	PROPN			6811
མུ་ཏི་ཏ་ཤྲཱི				
# Sanskrit nouns				
ཤཱཀྱ	PROPN			1757
སཱ་ལ	PROPN			508
ཨུཏྤལ				
ཛི་བ་ཀ				
མན་ད་ར་བ				
ཨ་མྲ	NOUN			224
བིམ་པ				64
ཨཱརྱ	NOUN			
ཀཱ་ཁོར་ཏ				
ཀ་ལ་པིང་ཀ	PROPN			18
ཤ་ར་བྷ				
ཨེ་ནེེ་ཡ				
ཨེ་ནེ་ཡ				
ལོ་ཙཱ་བ	NOUN			3137
པ་ལ་ཤ				
ལོཙྪ་བ	NOUN			
ཛྙཱ་ན	PROPN			
གརྦྷ				
ཤླཽ་ཀ				
པྲཛྙཱ				
ནཱ་མ				547
མཱུ་ལ				
མ་དྷྱཱ་མ་ཀ				
ཀཱ་རི་ཀ				40
ཧ་སུ				
མ་ཏི	PROPN			
ཏ་ལ	OTHER			257
ཀིམྤ				
བཛྲ				
ཀུ་ཤ	NOUN			1713
པྲི་ཡང་ཀུ	PROPN			
ཀུ་མུ་ད	NOUN			381
ཀུ་མཱ་ར	PROPN			170
སརྦ				457
པི་བི་ལིང				
པོ་ཏི	NOUN			654
ཛ་ཏི་ལི་ཤི				
ལི་ཤི	OTHER			26
པན་ཙ་ལི་ག				
ཤལ་མ་ལི				1
ཨཱ་ལི	NOUN			
ཨཱ་རོ་ལི་ཀ་				
ཀཱ་ལི	OTHER			2194
པཉྩ་ལི་ཀ				
ཛ་གད				
ཛ་ཡ				48
ཛ	OTHER			2779
ཛ་རི				
པ་ཙ་ཀ				
བེ་ཙ་ཀ				
ཙ་ཀ་ལི				24
ཨ་ཙ་ར	NOUN			
ཙ་མུ་ཎྜཱི				
གོ་རོ་ཙ་ན				
ཙ་ན་ཀ	PROPN			35
ཙ་མི				
ཙ་ཤ				
ཨུ་དུམ་ཝ་ར	NOUN			
གུ་རུ	PROPN			4660
ཨེ་མ་ཧོ	INTJ			
ཨེ་མ	INTJ			
ཨེ་ཝཾ	X			
ཤུ་ཀྲ				
པི་པི་ལིང				
ཝཱ་གུ་ཛི				
བཱ་གུ་ཛི་ཀ				
ཨ་པར་ཛི་ཏ				
གོ་ཛི་ཏྲ				
ཛི་ན་ཛི་ཀ				
ཛི་ན				
ཧེ་རུ་ཀ	NOUN			
ན་ལེ་ཀེ་ར				
ཙི་ཏ				
ཨུ་དུམ་ཝ་ར	NOUN			
ཨུ་དུམྦཱ་ར				
ཨུ་དུམྺཱ་ར				
ཨུ་ཙ་ཙརྱ				
ཨུ་ར				
སི་ལ་ར་ས				
ཀོ་དྲ་བ				
ཀ་ཀོ་ལ	OTHER			50
ཀོ་ཀི་ལཱཀྵ				
ཧུ་ལུ་ཏ				
ཀེ་ཏ་ཀ	OTHER			27
ལེ་ཀེ་ར				
བྷ་ལིང་ཏ				
ཨ་མྲི་ཏ				
པཎྚི་ཏ	NOUN			
པཎྜི་ཏ	NOUN			
ཨ་ཧོ				506
བེ་ཙ				
པྲི་ཡང་ཀུ	PROPN			
པྲི་ཡཾ་ཀུ				
པྲི་ཡང				
པྲི་ཡངྐུ				
ཏྲི་ཤཱུ་ལ				
བན་དྷ				
བ་ཡུ				
ཀྲི་ཡ	PROPN			41
ཏམ་པོ་ལེ				
ཙུ་ཏ	PROPN			25
ཤལ་མ་ལི				1
# Others				
ཨ	X			
ཤང་ཤང་ཏེའུ	NOUN			
ཨོཾ	X			
གཉི་ག				13
ཀུ་རེ	NOUN			483
