# form	pos	lemma	sense	freq
ཀ	DET		
ཀ་ཀཱ			12
ཀ་ཀུ་བྷ་ཡ			1
ཀ་ཀོ་ལ	OTHER		50
ཀ་ཁ			98
ཀ་ཁ་པ			
ཀ་ཁ་ཕྱེ			
ཀ་ཁོལ་མ			
ཀ་ཁྱི			
ཀ་གཅིག་མ			
ཀ་གཏུགས			
ཀ་གཞུ			13
ཀ་གཟོང			
ཀ་གྲངས			1
ཀ་གྷཾ་གི			
ཀ་ཅ			70
ཀ་ཅི			7
ཀ་ཆ			98
ཀ་ཆུག			
ཀ་ཏ་རུ			
ཀ་ཏོ་ར			12
ཀ་ཐོ			4
ཀ་དག			2137
ཀ་དཔེ			12
ཀ་དབྲག			
ཀ་དམ་པ			9
ཀ་དར			
ཀ་ནི་ཀ	PROPN		8
ཀ་པ			226
ཀ་པཱ་ལ			918
ཀ་པེད			6
ཀ་ཕིབས			
ཀ་ཕུར			1
ཀ་ཕྲེང			8
ཀ་བ	NOUN		3228
ཀ་བ་ལི			
ཀ་བཀོལ་མ			4
ཀ་བཀྱག			
ཀ་བཤད			12
ཀ་བསྟོད			1
ཀ་བེ་ཀོ་བེ			
ཀ་བེད			1
ཀ་མ་རུ			37
ཀ་མ་ལ			41
ཀ་མང་མ			
ཀ་མད			9
ཀ་མིག			
ཀ་མེད			1
ཀ་འགོ			
ཀ་འཕན			
ཀ་ཡེ			9
ཀ་ར	OTHER		435
ཀ་ར་ཤིང			
ཀ་ར་ཧ་རི			
ཀ་རག			
ཀ་རུ			137
ཀ་རེ་ཀོ་རེ			
ཀ་རྩོམ			2
ཀ་ལ			106
ཀ་ལ་པིང་ཀ	PROPN		18
ཀ་ལ་རོ་ཟན			
ཀ་ལག			
ཀ་ལཱ་པ	OTHER		106
ཀ་ལི			135
ཀ་ལི་ཀཱ			
ཀ་ཤ			21
ཀ་ཤུ་ཀ			
ཀ་ཤུབས			
ཀ་སྐྱོར			
ཀ་སྒྲོམ			1
ཀ་སྡེ			24
ཀག			134
ཀང་ཀ			19
ཀན			1242
ཀན་ཏུར			
ཀན་ཚལ			
ཀན་འོག			
ཀན་རྩ			
ཀབ་ཀོབ			1
ཀམ་ཀུམ			
ཀམ་ཀེམ			
ཀམ་པ			34
ཀམ་ཚང			2
ཀའུ་ཀ་རི			
ཀར			819
ཀར་ཀོར			
ཀར་ཎ་ཀཱ			
ཀར་བརྒྱུད			10
ཀར་ལུགས			28
ཀརྐ་ཊ			102
ཀརྐོ་ཊ			49
ཀརྨ			690
ཀལྤ			53
ཀསྨིར			
ཀཱ་ཀ་རུ			
ཀཱ་ཀོ་ལ			1
ཀཱ་ཡཿ			
ཀཱ་རི་ཀ			40
ཀཱ་ལི			2194
ཀི			2402
ཀི་ཀང			62
ཀི་ཀི			13
ཀི་ཀི་བསྭོ་བསྭོ			
ཀི་ཧི་ཧི			
ཀིང་ཤུ་ཀ			16
ཀིམ་པ་ཀ			2
ཀིའུ			10
ཀུ་ཀུ་བུ་ཤི			
ཀུ་ཅོ	NOUN		182
ཀུ་ཐུག			
ཀུ་དིར			1
ཀུ་དིར་བཞད་སྒྲ			
ཀུ་དོག			
ཀུ་བ	NOUN		92
ཀུ་བ་ལ			
ཀུ་བེ་ར			152
ཀུ་མ་ར་ཏ			1
ཀུ་མཱ་ར			170
ཀུ་མཱ་ར་ཤི			
ཀུ་མུ་ད			381
ཀུ་མུད			355
ཀུ་མུད་དགྲ			
ཀུ་མུད་ཕན			
ཀུ་མུད་ལོ་མ			
ཀུ་ཡ			8
ཀུ་རུ			158
ཀུ་རུ་ཀུ་ལེ			11
ཀུ་རུ་ཁ			4
ཀུ་རེ			483
ཀུ་ཤ	NOUN		1713
ཀུ་ཤ་ལི			
ཀུ་ཤུ			47
ཀུ་ས་ར			4
ཀུ་སཱ་ལི			170
ཀུ་སྒྲ			23
ཀུ་ཧྲང			
ཀུག			6
ཀུང་ཁང			
ཀུན	DET		237960
ཀུན་ཁྱབ			7
ཀུན་གཏུམ			
ཀུན་གཞི	NOUN		5167
ཀུན་གཟིགས			23
ཀུན་གསལ			105
ཀུན་གསོད			
ཀུན་གྲུབ			14
ཀུན་ཏུ་འོད			1
ཀུན་ད	OTHER		3
ཀུན་དཀྲིས			102
ཀུན་དགའ			2923
ཀུན་དགའ་ར་བ	NOUN		1267
ཀུན་དོང			15
ཀུན་བཏགས			157
ཀུན་བཏུས			505
ཀུན་བདག			12
ཀུན་བདེན			
ཀུན་བཟང			3760
ཀུན་བཟོད			
ཀུན་བརྐོས			
ཀུན་བརྟགས			567
ཀུན་བྱང			1
ཀུན་མཁྱེན			1990
ཀུན་མཐོང			
ཀུན་ཟ			1
ཀུན་འཁོར			5
ཀུན་འགེངས			4
ཀུན་འགྱེད			
ཀུན་འགྲོ			178
ཀུན་འཇོམས			7
ཀུན་འདྲེན			
ཀུན་འབྱུང			1419
ཀུན་འཛིན			121
ཀུན་ར			2
ཀུན་རིག			610
ཀུན་རྟོག			706
ཀུན་རྫོགས་པ			
ཀུན་རྫོབ			23443
ཀུན་རྫོབ་པ			69
ཀུན་ལྡན			97
ཀུན་ཤེས	PROPN		1016
ཀུན་སྐྱབས			
ཀུན་སྟོབས			2
ཀུན་སྣང			250
ཀུན་སྣང་འབར			
ཀུན་སྤངས			9
ཀུན་སྤྱོད			1189
ཀུན་སྦྱོར			273
ཀུན་སློང			1889
ཀུམ་ཀུམ			2
ཀུམ་པོ			1
ཀེ			662
ཀེ་ཀ			3
ཀེ་ཀེ་རུ			57
ཀེ་ཆུ			
ཀེ་ཏ་ཀ	OTHER		27
ཀེ་ཏུཿ			
ཀེ་ཚེ			
ཀེ་ཛི			
ཀེ་རུ	PROPN		14
ཀེ་རེ			15
ཀེ་རྩེ			
ཀེ་ལ་ཤ			1
ཀེ་ཤ་ཅན			
ཀེ་ས་ར			14
ཀེག			227
ཀེག་འཕྲང			7
ཀེང་རུས			1387
ཀེང་ཤུ་ཀ			14
ཀེམ་ཀེམ			6
ཀེའུ			9
ཀེའུ་ཙེ			3
ཀེའུ་ཚང			122
ཀེའུ་རྩེ			
ཀེར་ཀེར			
ཀེར་ཐིག			
ཀེར་བ			
ཀེར་མོ			
ཀེར་རེ			1
ཀོ			646
ཀོ་ཀྲད			
ཀོ་ཁུག			
ཀོ་ཁྲོལ			
ཀོ་གདན			1
ཀོ་གཞོང			
ཀོ་གཟར			
ཀོ་གྲུ			
ཀོ་གླ			
ཀོ་ཅི			42
ཀོ་ཆུ			4
ཀོ་ཉེ			
ཀོ་ཊ			60
ཀོ་ཐ			
ཀོ་ཐུམ			
ཀོ་དམ			
ཀོ་ཕུབ			
ཀོ་ཕྱར			
ཀོ་བ			168
ཀོ་བཟོ་བ			
ཀོ་བརྩེགས			
ཀོ་བསེ			
ཀོ་བྱི་ལ			4
ཀོ་བྱིལ			
ཀོ་མཁན			18
ཀོ་མོག			14
ཀོ་ཙེ			2
ཀོ་ཚགས			
ཀོ་ཚལ			
ཀོ་འཕྱགས			
ཀོ་འབིགས			
ཀོ་འབེ			
ཀོ་འབོ			
ཀོ་འབོག			
ཀོ་རེ			1
ཀོ་རོ			16
ཀོ་རྐྱལ			
ཀོ་རྒྱུན			
