# form	pos	lemma	sense	freq
ཀ	DET			
ཀུ་ཅོ	NOUN			182
ཀུན	DET			237960
ཀུན་རྫོབ	NOUN			23443
ཀོ				646
ཀྱེ	INTJ			5001
ཀྱོག				
ཀྱོག་པོ				75
ཀླ་ཀློ				89
ཀླུ	NOUN			16929
ཀླུང	NOUN			4581
ཀློང	NOUN			9545
ཀློང་ཆེན	PROPN			278
དཀའ	VERB			
དཀར་པོ	ADJ			19284
དཀོན་མཆོག	NOUN			20045
དཀྱིལ	NOUN			
དཀྱིལ་འཁོར	NOUN			
དཀྱིལ་མོ་ཀྲུང				
བཀག	VERB			
བཀང	VERB			
བཀའ	NOUN			64900
བཀུར	VERB			
བཀུར་སྟི	NOUN			3091
བཀོད	VERB			
བཀོད་མ	NOUN			61
བཀོལ				
བཀྲ་ཤིས	NOUN			17204
བཀྲམ	VERB			
བཀྲེན	VERB			
བཀྲེས	VERB			
རྐང	NOUN			6193
རྐན	NOUN			967
རྐུན				
རྐུན་མ				393
རྐེད	NOUN			
རྐྱེན	NOUN			41834
ལྐོག	NOUN			4160
སྐ་རགས	NOUN			784
སྐད	NOUN			122153
སྐད་ཅིག	OTHER			29
སྐབས	NOUN			77868
སྐམ	VERB			1170
སྐར				
སྐར་ཁུང	NOUN			444
སྐར་མ	NOUN			2023
སྐར་རྩིས	OTHER			41
སྐལ	NOUN			
སྐུ	NOUN			87576
སྐུར	NOUN			3764
སྐེ	NOUN			833
སྐེ་རགས	NOUN			326
སྐོམ	NOUN			
སྐྱབས	NOUN			35356
སྐྱིལ་ཀྲུང	NOUN			4761
སྐྱིལ་མོ་ཀྲུང	NOUN			
སྐྱུ་རུ				164
སྐྱུ་རུ་ར	NOUN			164
སྐྱེ	NOUN			
སྐྱེ་མཆེད	NOUN			15925
སྐྱེ་གནས	NOUN			5016
སྐྱེ་བོ	NOUN			16650
སྐྱེད	VERB			6924
སྐྱེས	VERB			38730
སྐྱེས་བུ	NOUN			22404
སྐྱོ	VERB			
སྐྱོང	VERB			
སྐྱོན	NOUN			39012
སྐྲ	NOUN			12660
སྐྲངས				
སྐྲན				246
བརྐམ				
བསྐལ				204
བསྐུལ	VERB			
བསྐོར	VERB			
བསྐྱེད	VERB			
བསྐྱོད	VERB			
ཁ	PRON			69891
ཁ་ཅིག	PRON			
ཁ་ཏོན	NOUN			1852
ཁ་དོག	NOUN			21825
ཁ་ན་མ་ཐོ				
ཁ་ཟས	NOUN			4933
ཁ་རོག	ADJ			153
ཁང	NOUN			
ཁབ	NOUN			4897
ཁམ	NOUN			2097
ཁམས	NOUN			100683
ཁར་གཞོང				
ཁུ	PROPN			1233
ཁུ་ཚུར	NOUN			3157
ཁུང	NOUN			1971
ཁུང་བུ	NOUN			871
ཁུངས	NOUN			2669
ཁེངས	VERB			
ཁེབས	VERB			460
ཁོ	PRON			9001
ཁོ་ན	DET			26779
ཁོ་བོ	PRON			5337
ཁོ་ལག				24
ཁོང	PRON			20165
ཁོང་སྟོང				6
ཁོངས	NOUN			4557
ཁོམ	VERB			
ཁོར་ཡུག	NOUN			2312
ཁྭ	NOUN			422
ཁྱད	NOUN			6821
ཁྱད་པར	NOUN			2620
ཁྱབ	VERB			
ཁྱི	NOUN			3498
ཁྱིམ	NOUN			15051
ཁྱིམ་ཐབ	NOUN			631
ཁྱིམ་བདག	NOUN			9441
ཁྱུ	NOUN			98
ཁྱུང	NOUN			2636
ཁྱུང་ཆེན	NOUN			344
ཁྱུད				
ཁྱུད་མོ				26
ཁྱེད	PRON			48687
ཁྱེད་ཅག	PRON			
ཁྱེའུ	NOUN			
ཁྱེར	VERB			9732
ཁྱོད	PRON			109559
ཁྱོན	NOUN			1825
ཁྱོར				
ཁྲག	NOUN			18798
ཁྲག་ཁྲིག	NUM			3930
ཁྲི	NUM			17336
ཁྲི་ཕྲག				26
ཁྲིད	VERB			16499
ཁྲིམས	NOUN			3362
ཁྲུ	NOUN			4928
ཁྲོད	NOUN			2606
ཁྲོན་པ	NOUN			578
མཁན	PROPN			2731
མཁའ	NOUN			7068
མཁས	VERB			
མཁོ				
མཁྱེན	VERB			
མཁྲིས				
མཁྲེགས				
འཁུམས				
འཁོར	NOUN			57883
འཁོར་ཡུག	OTHER			752
འཁོར་ལོ	NOUN			50792
འཁྲི་ཤིང	OTHER			368
འཁྲིག				450
འཁྲུག	VERB			1242
ག	PRON			23661
གང་དག				175
གང་ཞིག				1
གང་ཟག	NOUN			40141
གད	VERB			560
གན	NOUN			1936
གར་བུ	NOUN			4
གལ	ADV			66941
གལ་ཆེ	OTHER			
གལ་ཏེ				
གི་ཝང				120
གུ	OTHER			3093
གུ་གུལ				1894
གུ་ལང				42
གུག	VERB			1565
གུང	ADV			1942
གུང་མོ				1296
གུད	VERB			3007
གུར	NOUN			4534
གུར་ཀུམ	NOUN			132
གུར་གུམ				720
གུས	VERB			
གེ་སར	PROPN			9
གེགས	NOUN			9348
